10.5194/tc-2016-279
10.1101/098707
10.7287/peerj.preprints.2397
10.5194/bg-2016-556
10.5194/bg-2016-533
10.20944/preprints201701.0065.v1
10.5194/gmd-2016-312
10.5194/acp-2016-1162
10.31219/osf.io/g8kbj
10.5194/acp-2017-35
10.5194/gmd-2016-306
10.1101/100354
10.5194/acp-2017-18
10.1101/101253
10.20944/preprints201701.0034.v1
10.5194/nhess-2016-359
10.31235/osf.io/cf8c2
10.5194/acp-2016-1106
10.5194/acp-2016-1019
10.1101/099317
10.5194/hess-2016-663
10.1101/099663
10.1101/103176
10.20944/preprints201701.0030.v2
10.1101/103549
10.2196/preprints.7359
10.5194/nhess-2017-24
10.5194/esd-2017-6
10.20944/preprints201609.0106.v2
10.1101/099838
10.1101/100750
10.1101/098301
10.1101/097923
10.1101/104901
10.1101/101246
10.1101/101360
10.5194/cp-2017-6
10.1101/103127
10.5194/acp-2017-33
10.1101/100990
10.1101/099606
10.5194/tc-2016-299
10.1101/101782
10.5194/esd-2016-75
10.1101/102681
10.1101/104554
10.31234/osf.io/5jfsu
10.5194/bg-2016-551
10.1101/104067
10.1101/099572
10.1101/098327
10.2196/preprints.7311
10.1101/102475
10.20944/preprints201701.0125.v1
10.20944/preprints201701.0119.v1
10.7287/peerj.preprints.2729
10.5194/nhess-2016-402
10.1101/100115
10.5194/acp-2017-2
10.1101/098863
10.1101/098855
10.1101/101139
10.1101/103028
10.1101/101964
10.7287/peerj.preprints.2707
10.7287/peerj.preprints.2757
10.20944/preprints201701.0085.v1
10.1101/104224
10.31219/osf.io/7yyhd
10.5194/essd-2016-68
10.1101/102939
10.5194/bg-2016-524
10.1101/102392
10.7287/peerj.preprints.2731
10.1101/099929
10.5194/bg-2016-526
10.31234/osf.io/8prwj
10.5194/acp-2016-1053
10.1101/101022
10.5194/acp-2016-1090
10.20944/preprints201701.0122.v1
10.7287/peerj.preprints.2663
10.1101/098533
10.1101/098368
10.1101/098202
10.2196/preprints.7362
10.5194/amt-2016-403
10.1101/096107
10.1101/098467
10.1101/101543
10.1101/097790
10.1101/098517
10.1101/097873
10.1101/103002
10.5194/acp-2016-1034
10.5194/bg-2017-1
10.5194/amt-2017-12
10.1101/099184
10.31234/osf.io/pbmr5
10.1101/107474
10.1101/102632
10.20944/preprints201702.0096.v1
10.31235/osf.io/5u2nn
10.1101/107235
10.5194/amt-2017-18
10.5194/hess-2017-40
10.5194/acp-2016-1092
10.5194/acp-2016-1044
10.5194/hess-2017-37
10.7287/peerj.preprints.2481
10.31235/osf.io/fpdcb
10.1101/106732
10.1101/105205
10.5194/nhess-2017-29
10.5194/nhess-2016-404
10.5194/nhess-2017-73
10.5194/hess-2017-87
10.5194/acp-2016-1178
10.5194/amt-2016-384
10.1101/109231
10.1101/105528
10.31235/osf.io/kdfkt
10.7287/peerj.preprints.2812
10.1101/111567
10.2196/preprints.7558
10.5194/acp-2017-16
10.5194/bg-2017-48
10.20944/preprints201701.0116.v3
10.1101/108589
10.5194/acp-2017-85
10.5194/gmd-2017-22
10.20944/preprints201702.0063.v1
10.1101/105593
10.1101/112284
10.1101/110262
10.7287/peerj.preprints.2809
10.1101/108720
10.1101/112433
10.1101/107706
10.1101/110940
10.5194/acp-2016-1170
